"","old_index","comb_index","old_nm","new_nm","comb_nm"
"1",4525,4470,"Yale-DN01066","DENV1/Mexico/2022-12-07/Yale-DN01066","DENV1/Mexico/2022-12-07/Yale-DN01066"
"2",3924,4471,"Yale-DN00355","DENV1/Brazil/2016-02-08/Yale-DN00355","DENV1/Brazil/2016-02-08/Yale-DN00355"
"3",4496,4472,"Yale-DN00966","DENV1/Cuba/2021-11-16/Yale-DN00966","DENV1/Cuba/2021-11-16/Yale-DN00966"
"4",3935,4473,"Yale-DN00664","DENV1/Cuba/2019-10-02/Yale-DN00664","DENV1/Cuba/2019-10-02/Yale-DN00664"
"5",4493,4474,"Yale-DN00821","DENV1/Cuba/2022-09-01/Yale-DN00821","DENV1/Cuba/2022-09-01/Yale-DN00821"
"6",4492,4475,"Yale-DN00793","DENV1/Cuba/2022-08-02/Yale-DN00793","DENV1/Cuba/2022-08-02/Yale-DN00793"
"7",4498,4476,"Yale-DN00982","DENV1/Cuba/2020-11-25/Yale-DN00982","DENV1/Cuba/2020-11-25/Yale-DN00982"
"8",3925,4477,"Yale-DN00058","DENV1/Costa_Rica/2016-03-15/Yale-DN00058","DENV1/Costa_Rica/2016-03-15/Yale-DN00058"
"9",4494,4478,"Yale-DN00938","DENV1/Cuba/2022-12-03/Yale-DN00938","DENV1/Cuba/2022-12-03/Yale-DN00938"
"10",3922,4479,"Yale-DN00054","DENV1/USA:Florida/2013-08-29/Yale-DN00054","DENV1/USA:Florida/2013-08-29/Yale-DN00054"
"11",4512,4480,"Yale-DN00603","DENV1/Honduras/2019-08-23/Yale-DN00603","DENV1/Honduras/2019-08-23/Yale-DN00603"
"12",4519,4481,"Yale-DN00721-1","DENV1/Mexico/2019-12-05/Yale-DN00721-1","DENV1/Mexico/2019-12-05/Yale-DN00721-1"
"13",4501,4482,"Yale-DN01011","DENV1/Bolivia/2020-03-15/Yale-DN01011","DENV1/Bolivia/2020-03-15/Yale-DN01011"
"14",4495,4483,"Yale-DN00823-1","DENV1/Cuba/2022-08-28/Yale-DN00823-1","DENV1/Cuba/2022-08-28/Yale-DN00823-1"
"15",3934,4484,"Yale-DN00592","DENV1/Cuba/2019-08-18/Yale-DN00592","DENV1/Cuba/2019-08-18/Yale-DN00592"
"16",4516,4485,"Yale-DN00760-1","DENV1/Dominican_Republic/2019-10-17/Yale-DN00760-1","DENV1/Dominican_Republic/2019-10-17/Yale-DN00760-1"
"17",4508,4486,"Yale-DN00569","DENV1/Dominican_Republic/2019-08-12/Yale-DN00569","DENV1/Dominican_Republic/2019-08-12/Yale-DN00569"
"18",3921,4487,"Yale-DN00240","DENV1/USA:Florida/2010-06-24/Yale-DN00240","DENV1/USA:Florida/2010-06-24/Yale-DN00240"
"19",4506,4488,"Yale-DN00138-1","DENV1/Haiti/2018-07-05/Yale-DN00138-1","DENV1/Haiti/2018-07-05/Yale-DN00138-1"
"20",4511,4489,"Yale-DN00593","DENV1/Haiti/2019-08-14/Yale-DN00593","DENV1/Haiti/2019-08-14/Yale-DN00593"
"21",3917,4490,"Yale-DN00256","DENV1/USA:Florida/2010-08-27/Yale-DN00256","DENV1/USA:Florida/2010-08-27/Yale-DN00256"
"22",3916,4491,"Yale-DN00266","DENV1/USA:Florida/2010-08-06/Yale-DN00266","DENV1/USA:Florida/2010-08-06/Yale-DN00266"
"23",3912,4492,"Yale-DN00273","DENV1/USA:Florida/2010-10-11/Yale-DN00273","DENV1/USA:Florida/2010-10-11/Yale-DN00273"
"24",4515,4493,"Yale-DN00654-1","DENV1/USA:Florida/2019-09-20/Yale-DN00654-1","DENV1/USA:Florida/2019-09-20/Yale-DN00654-1"
"25",4509,4494,"Yale-DN00568","DENV1/Haiti/2019-08-12/Yale-DN00568","DENV1/Haiti/2019-08-12/Yale-DN00568"
"26",3926,4495,"Yale-DN00232","DENV1/USA:Florida/2010-06-30/Yale-DN00232","DENV1/USA:Florida/2010-06-30/Yale-DN00232"
"27",4507,4496,"Yale-DN00482","DENV1/Venezuela/2019-01-07/Yale-DN00482","DENV1/Venezuela/2019-01-07/Yale-DN00482"
